"item_id","item_type","milestone","epic_id","title","user_value","scope","dependencies","owner_type","estimate_person_days","acceptance_criteria","definition_of_done","master_spec_sections","api_operation_ids","critical_path","parallel_track","scope_exclusions","requirement_ids","delivery_status","target_release","evidence_refs","test_refs"
"M1-US-04","USER_STORY","M1","EP-M1","Sapphire 公共入口、私密频道与常驻面板","用户通过消息组件完成结构化选择，通过少量 Modal 填写自由文本，不需要大型斜杠菜单。","实现固定公共入口、绑定 Modal、消息组件完成结构化选择、补充备注 Modal、订单频道创建/补偿、权限覆盖、面板渲染和更新、custom_id 路由及重复交互处理。","M1-US-02;M1-US-03","discord_bot","4-6","成员不能查看他人订单频道；结构化选项逐次提交并更新原消息；Modal 不超过 5 个顶层组件且无双栏/自定义按钮；面板显示最新需求、金额、状态和动作；创建频道失败不留下可提交订单；面板可重建。","InteractionHandler、组件约束、权限渲染和 API 错误映射测试通过；测试 Server E2E 留证。","§1.1;§3.2;§4.4;§5.5;§7.1-7.5;§11.2;§12;§17.1","createBinding;createOrder;getOrder;updateOrder","yes","discord_bot","不把价格、状态机、资金或最终权限规则写入 Sapphire Piece；不在打开的 Modal 内实现级联选择。","ARCH-01;PL-01","PLANNED","P0","BOT:public-entry;BOT:private-order-panel","AT-CHN-001;AT-ORD-003;AT-UI-001;AT-UI-002;AT-UI-003"
"M1-US-05","USER_STORY","M1","EP-M1","订单提交与资金预留","用户确认订单后金额只被预留一次，失败时不会进入派单。","提交时原子复核价格和 Provider 余额，创建订单 FundReservation，写外部交易镜像并迁移到 PENDING_DISPATCH；UNKNOWN 锁定并对账。","M0-US-04;M1-US-03;M0-US-05","backend_api","4-7","余额不足保持 DRAFT；预留成功才进入 PENDING_DISPATCH；重复提交只产生一条有效预留；UNKNOWN 禁止重试扣款并经 getTransaction/Webhook 收敛。","Provider Mock 全分支、数据库事务和 API 集成测试通过；审计可追溯 reservation 与 external_ref。","§6.2;§8;§9;§10.3;§11.3;§12;§15.1;§17.2;§18;最新基线:资金预留","submitOrder;handlePaymentWebhook","yes","payment_integration","不直接在提交时完成消费；不建可手工编辑 pending 字段。","PL-02;FUND-01;FUND-02;FUND-05;FUND-06","PLANNED","P0","API:submitOrder;DB:FundReservation","AT-RES-001;AT-REC-002;AT-ORD-004"
"M1-US-06","USER_STORY","M1","EP-M1","私密个人服务中心","用户可在 Discord 私密查看余额、预留金额、当前订单、消费和本人返佣摘要。","实现服务中心 API 聚合与 Sapphire ephemeral 视图；消费和返佣在 M3 前可返回结构稳定空列表。","M1-US-02;M1-US-03;M1-US-04","fullstack_bot_api","2-4","个人数据仅私密显示；余额字段严格为 providerBalanceMinor/reservedMinor/availableMinor/currency/fetchedAt；活跃订单可跳转；失败不伪造余额。","API 契约、归属、空/错/加载状态和 Discord 手工验收通过。","§3.1;§6.1;§10.2;§12;§17.1","getCurrentUser;getCurrentBalance;listCurrentUserConsumptions;listCurrentUserCommissions","no","discord_bot","不做公开主页、完整 BI 或余额缓存账本。","NAME-02;REF-05","PLANNED","P0","BOT:service-center;API:getCurrentBalance","AT-ACC-004"
"M1-US-07","USER_STORY","M1","EP-M1","结构化需求与一次完整确认","用户提交前一次看全需求、价格、余额和取消规则，减少误单。","确认面板固定展示 game、service、region、duration、tags、notes、price、available balance、cancellation rule；数据来自 estimateOrder/getCurrentBalance。","M1-US-03;M1-US-06","fullstack_bot_api","3-5","缺任一必填项不可确认；确认页一次完整显示全部字段和币种；陈旧版本要求刷新；Bot 不自行计算价格或可用余额。","API schema、Bot 渲染、缺失/陈旧/余额失败分支和 E2E 通过。","最新基线:启动前最优先六项(1);§3.2;§6.2;§7.2","estimateOrder;getCurrentBalance","yes","api_bot","不增加预约字段、陪玩试音或用户选陪玩。","PL-01;ARCH-01","PLANNED","P0","API:estimateOrder;UI:order-confirmation-panel","AT-PL-001;AT-ORD-002"
"M1-US-08","USER_STORY","M1","EP-M1","资金预留模型与并发控制","多个订单或礼物请求并发时，用户只能使用真实可用余额。","统一 availableMinor=providerBalanceMinor-reservedMinor；预留绑定 source/idempotency/version/lifecycle；API 原子创建、捕获和释放并优先使用 Provider hold 能力。","M0-US-02;M0-US-04;M1-US-05","backend_payment_data","5-8","并发请求不能超额预留；reservedMinor 为有效 FundReservation 合计；取消释放、完成捕获、争议保留；Provider 无 hold 时本地 fallback 仍原子重读余额。","数据库并发、Provider capability、幂等、版本冲突及恢复测试通过；统一资金服务被订单和礼物复用。","最新基线:资金预留;§8;§9;§10.3;§12","getCurrentBalance;submitOrder;cancelOrder","yes","payment_data","不提供手工编辑预留金额或客户端余额计算。","PL-02;FUND-01;FUND-02;FUND-05;FUND-06;NAME-02","PLANNED","P0","DB:FundReservation;API:fund-reservation-service","AT-RES-001;AT-RES-002;AT-RES-003"
"EP-M2","EPIC","M2","EP-M2","陪玩准入、透明派单与订单闭环","合格陪玩唯一接单；双方明确准备后开始；自动流程可由客服暂停和接管。","陪玩准入/工作台、在线筛选、透明派单、并发接单、双方准备、取消预览、客服暂停/恢复、退款、结案和转派。","EP-M1","product_tech_lead","40-66 (aggregate; do not sum with children)","正常单及异常单均可闭环；匹配过程透明；双方 READY 才开始；取消先预览；客服可暂停自动化且争议不自动裁决。","全部 M2 Story 验收通过；并发和异常 E2E 有可重复证据。","§3.3-3.4;§5;§6.3-6.5;§8;§11-12;§16(M2);§17.2;最新基线:PL-03至PL-06","dispatchOrder;acceptOrder;setOrderReadiness;requestOrderCompletion;confirmOrder;previewOrderCancellation;cancelOrder;createOrderStaffTask;refundOrder;resolveOrder;reassignOrder","yes","api_bot","不做预约、排班、陪玩试音、用户选陪玩、指定陪玩、候补扩圈或自动争议裁决。","PL-03;PL-04;PL-05;PL-06;OPS-01;DISP-01;NAME-03","PLANNED","P0","FLOW:dispatch-service-lifecycle;UI:player-workbench","AT-DSP-001;AT-RDY-001;AT-CXL-001"
"M2-US-01","USER_STORY","M2","EP-M2","陪玩准入、标签、Presence 与可接单状态","用户只匹配到已审核、能力匹配且实际可接单的陪玩。","实现 player_profile 审核、游戏/服务标签、本人 AVAILABLE/BUSY、Discord Presence 同步和单活跃订单检查。","M0-US-03;M1-US-03","backend_bot","3-5","只有 ACTIVE+AVAILABLE+在线+标签匹配+无活跃订单进入候选；PENDING_REVIEW/PAUSED/SUSPENDED 不能接单；Presence 不覆盖业务开关。","候选筛选、Role/Presence Listener 和权限测试通过。","§2.1;§3.3;§5.1;§6.3;§8.2;§10.3-10.4;§11.1;§15.2","approvePlayer;setPlayerAvailability;syncDiscordPresence;setPlayerOperationalStatus;updatePlayerOperationalTags","yes","api_bot","不做排班、自动技能评分或跨 Server Presence。","PL-04;DISP-01","PLANNED","P0","DB:player-profile;BOT:presence-sync","AT-DSP-001;AT-ROL-001"
"M2-US-02","USER_STORY","M2","EP-M2","自动派单候选与集中派单卡片","符合条件的陪玩在集中频道收到清晰即时单。","消费 OrderSubmitted，生成候选快照和 dispatch_attempt，经 Outbox 发布卡片并设置超时。","M0-US-05;M1-US-05;M2-US-01","backend_bot","4-7","卡片仅 @ 候选；发布失败可重试；超时 attempt 标记并通知运营；事件重放不产生重复有效派单轮次。","候选、Outbox、超时 Job、Discord 渲染和重放测试通过。","§3.3;§6.3;§9;§11.1-11.3;§12;§17.2;§18","dispatchOrder;getOrder;acceptOrder;declineOrderOffer","yes","api_bot","不自动扩圈、候补或实现复杂排序算法。","PL-03;DISP-01","PLANNED","P0","API:dispatchOrder;BOT:dispatch-card;DB:dispatch-attempt","AT-DSP-001;AT-DSP-002"
"M2-US-03","USER_STORY","M2","EP-M2","并发唯一接单与订单频道入场","第一位合格陪玩唯一获得订单，并立即进入用户频道。","实现条件更新接单、活跃订单约束、订单/attempt 原子写、OrderAccepted Outbox、频道权限添加和按钮失效。","M2-US-02","backend_bot","3-5","并发点击只有一人成功；失败者看到已接取；胜者加入频道；其他陪玩不能访问；展示失败可重试且不回滚接单。","数据库并发、API 集成和 Discord E2E 通过。","§1.1;§6.3;§8.1;§9;§10.3;§11.1-11.3;§17.2","acceptOrder;getOrder","yes","api_bot","不支持一单多陪玩或绕过活跃订单约束。","DISP-01;PL-03","PLANNED","P0","API:acceptOrder;BOT:order-channel-permission","AT-DSP-003;AT-DSP-004"
"M2-US-04","USER_STORY","M2","EP-M2","双方准备、申请完成与用户确认","用户和陪玩按合法顺序完成服务，单方不能开始计费。","实现双方 READY、ACCEPTED→IN_SERVICE、申请完成、用户确认、Actor 归属、时间戳、面板动作和确认超时任务；旧 start 调用必须拒绝并审计。","M2-US-03;M0-US-05","fullstack_bot_api","3-5","仅双方 READY 后进入 IN_SERVICE；非订单双方不能操作；非法迁移返回 409；确认超时只建任务，不自动完成或结算。","状态机、readiness、超时 Job 和双方 Discord E2E 通过。","§3.3;§6.4;§8.1;§10.3;§11.1;§12;§17.2;最新基线:PL-05","setOrderReadiness;requestOrderCompletion;confirmOrder","yes","api_bot","不做单方开始、自动确认、评价、加时或按分钟自动计时。","PL-05;NAME-03","PLANNED","P0","API:setOrderReadiness;BOT:readiness-panel","AT-RDY-001;AT-SVC-001;AT-SVC-002"
"M2-US-05","USER_STORY","M2","EP-M2","默认自动取消与异常客服任务","简单取消自动完成，接单后或异常场景保留客服判断空间。","实现 DRAFT 取消、待派单释放预留、已接单 CANCELLATION_ASSIST，以及迟到、缺席、中断、完成超时任务和风险事件。","M1-US-05;M2-US-03;M2-US-04;M0-US-05","backend_api","4-7","释放或退款确认前不显示 CANCELLED；失败进入 EXCEPTION 并建任务；超时规则只开任务不自动扣罚；重复触发不重复建活动任务。","取消、预留释放、退款、超时、风险和幂等集成测试通过；Bot 显示客服接管状态。","§3.4;§6.4-6.5;§8;§10.3-10.4;§11.1;§12;§17.2;§18","cancelOrder;createOrderStaffTask;handlePaymentWebhook","yes","api_data","不自动裁决爽约、争议或服务中断，不自动扣罚陪玩。","OPS-01;FUND-02;PL-06","PLANNED","P0","API:cancelOrder;DB:staff-task","AT-CAN-001;AT-CAN-004;AT-SUP-001"
"M2-US-06","USER_STORY","M2","EP-M2","人工退款、结案与转派的原子用例","客服可在权限内处理复杂订单，资金、收益、状态和审计不会半完成。","实现 refundOrder/resolveOrder/reassignOrder、reason/evidence、金额等级路由、Provider 退款、resolution、Adjustment、风险和不可篡改审计事务。","M0-US-03;M0-US-04;M2-US-05","backend_security","5-8","L1 仅建议；退款≤50000 由 L2、50001–499999 由 L3、≥500000 由 L4 直接执行；同一人可发起并执行；UNKNOWN 经 getTransaction 恢复；无部分写入。","等级边界、同人发起并执行、原因、step-up/MFA、Provider 失败、Adjustment 和事务回滚测试通过。","§5.2-5.4;§6.5;§9;§10.4-10.6;§12;§15;§17.2-17.4","refundOrder;resolveOrder;reassignOrder","yes","api_data","不硬删除、强制改状态或自动争议裁决。","OPS-01;ACCESS-01;REF-07;NAME-04","PLANNED","P0","API:resolveOrder;API:refundOrder;DB:order-resolution","AT-CAN-006;AT-CAN-009;AT-RBAC-004"
"M2-US-07","USER_STORY","M2","EP-M2","用户侧匹配进度透明","等待派单的用户能看到当前阶段、已通知人数和下一步。","提供匹配进度读模型：stage、notifiedCandidateCount、timeoutAt、nextStep；接单后显示陪玩摘要和用户下一动作。","M2-US-02;M2-US-03","fullstack_bot_api","3-5","派单阶段和候选通知数来自 API；超时文案说明自动重试或客服接管；接单后不泄露陪玩敏感信息；陈旧面板可刷新。","读模型、隐私、超时和 Bot 状态渲染测试通过。","最新基线:启动前最优先六项(3);§3.3;§7.2","getOrder;acceptOrder","yes","api_bot","不展示候选名单、排序分或复杂推荐理由。","PL-03;ARCH-01","PLANNED","P0","OPENAPI:getOrder;BOT:matching-status","AT-MAT-001;AT-DSP-004"
"M2-US-08","USER_STORY","M2","EP-M2","完整陪玩工作台","陪玩可在一个私密面板看清资格、状态、订单、倒计时、收益和下一动作。","聚合 qualification、presence、availability、currentOrder、matchedOrders、requirements、countdown、earningsSummary 和 allowedActions；Bot 仅渲染。","M2-US-01;M2-US-02;M2-US-03","fullstack_bot_api","4-7","未准入时说明原因；可接单开关和 Presence 分开展示；匹配与当前订单不混淆；收益仅显示本人；所有动作由 API capabilities 返回。","工作台聚合、权限、加载/空/错/陈旧状态和 Discord E2E 通过。","最新基线:启动前最优先六项(4);§3.3;§7.4","getPlayerWorkbench;setPlayerAvailability;acceptOrder","yes","api_bot","不做陪玩公开档案、试音材料、排班或用户挑选。","PL-04;ARCH-01;REF-05","PLANNED","P0","OPENAPI:getPlayerWorkbench;BOT:player-workbench","AT-WRK-001;AT-EAR-001"
"M2-US-09","USER_STORY","M2","EP-M2","双向准备与超时转客服","服务只有用户和陪玩都确认 READY 后才开始，超时自动进入客服队列。","为双方保存 readiness 与版本；第二个 READY 原子迁移 IN_SERVICE；超时 Job 创建唯一客服任务；不提供任何兼容 start 权限。","M2-US-03;M0-US-05","backend_bot","4-6","任何单方 READY 不开始；并发 READY 仅迁移一次；超时创建一次任务且不计费；客服可查看双方状态和原因。","并发状态机、超时、Actor 归属、旧调用拒绝和双方 E2E 通过。","最新基线:启动前最优先六项(5);§6.4;§8.1","setOrderReadiness;createOrderStaffTask;listCurrentUserStaffTasks","yes","api_bot","不允许陪玩单方 start 或自动开始计费。","PL-05;NAME-03;OPS-01","PLANNED","P0","API:setOrderReadiness;JOB:readiness-timeout","AT-RDY-001;AT-RDY-002"
"M2-US-10","USER_STORY","M2","EP-M2","取消影响预览与原子执行","用户取消前能看清是否自动处理、释放或退款金额、方式和时间。","实现 previewOrderCancellation；cancelOrder 使用相同规则在事务内重验状态、版本、预留和 Provider 交易。","M1-US-08;M2-US-05","backend_api","3-5","预览返回 autoProcessable、releaseAmountMinor、refundAmountMinor、refundMethod、estimatedTiming 和需客服原因；执行时数据变化返回 409 并要求刷新；金额由 API 计算。","预览/执行一致性、并发变化、预留释放、退款 UNKNOWN 和 Bot 面板测试通过。","最新基线:启动前最优先六项(6);§3.4;§6.5;§10.3","previewOrderCancellation;cancelOrder","yes","api_data","不由 Bot 估算退款，不自动裁决已接单争议。","PL-06;FUND-02;ARCH-01","PLANNED","P0","API:previewOrderCancellation;UI:cancellation-preview","AT-CXL-001;AT-CAN-003;AT-CAN-008"
"M2-US-11","USER_STORY","M2","EP-M2","客服暂停、接管与恢复自动化","异常时客服可阻止自动动作，处理后恢复或转派且全程可审计。","实现订单 automationState、pause/resume、接管人、原因、范围、到期提示；暂停时派单/超时/自动取消 Job 安全跳过；支持重派和审批。","M2-US-05;M2-US-06","backend_ops","4-6","L1 可请求/在 scope 内接管但不能执行资金动作；L2+ 可按权限暂停恢复；重复 pause/resume 幂等；Worker 尊重最新版本；所有操作留审计。","权限、并发 Worker、超时、恢复、转派和 Dashboard/Bot 状态测试通过。","最新基线:P0产品边界(3);§3.4;§5;§6.5","pauseOrderAutomation;resumeOrderAutomation;createOrderStaffTask;reassignOrder;getStaffTask;resolveStaffTask","yes","api_dashboard","不提供绕过状态机的任意改状态功能。","OPS-01;OPS-02;ACCESS-02","PLANNED","P0","OPENAPI:pauseOrderAutomation;OPENAPI:resumeOrderAutomation","AT-SUP-005;AT-SUP-002"
"EP-M3","EPIC","M3","EP-M3","礼物、消费、收益与保密一级返佣","送礼先预留再核对批准；订单/礼物消费、陪玩收益和两种一级返佣可追溯。","礼物请求/预留/审批/捕获/播报、收益、PROMOTER_FIRST_PURCHASE、PLAYER_LIFETIME、保密查询和 Adjustment。","EP-M2","product_tech_lead","29-47 (aggregate; do not sum with children)","礼物完整走请求→预留→核对→批准→捕获→记账→播报；两种返佣互斥且来源用户不可见受益人信息；冲正只新增 Adjustment。","全部 M3 Story 验收通过；并发、支付重试、保密和返佣重放测试留证。","§3.5-3.6;§6.6-6.7;§8.2;§9-12;§16(M3);§17.3;最新基线:资金预留/返佣/礼物","createOrderGiftRequest;approveGiftRequest;rejectGiftRequest;listPlayerEarnings;updatePlayerEarning;listCurrentUserCommissions;listCommissions;updateCommission","yes","gift_finance","不做礼物动画、多级返佣、自动发放、自动提现或税务。","FUND-03;FUND-04;GIFT-01;GIFT-02;GIFT-03;GIFT-04;REF-01;REF-02;REF-03;REF-04;REF-05;REF-06;REF-07","PLANNED","P0","FLOW:gift-reservation-capture;MODEL:referral-programs","AT-RES-008;AT-RFP-005"
"M3-US-01","USER_STORY","M3","EP-M3","礼物目录与订单内送礼请求","用户可从关联订单选择礼物，确认后立即预留金额并进入客服核对。","实现礼物查询、状态/时间窗口校验、快照、目标从 order.player_id 推导、Gift FundReservation、GIFT_REVIEW 任务和 Bot 面板。","M2-US-03;M0-US-05","fullstack_bot_api","3-5","仅 ACCEPTED/IN_SERVICE/PENDING_CONFIRMATION 或 completed_at 后 24 小时内 COMPLETED 可请求；目标不可伪造；提交后预留且建任务。","四个状态、COMPLETED 24 小时边界、目标防伪、预留、任务、Bot 和隐私测试通过。","§3.5;§6.6;§7.3;§9;§10.4;§17.3;最新基线:礼物与客服","listGifts;createOrderGiftRequest;getCurrentBalance","yes","gift_flow","不做脱离订单送礼、匿名礼物或动画。","GIFT-01;FUND-03","PLANNED","P0","API:createOrderGiftRequest;DB:gift-reservation","AT-GFT-001;AT-GFT-003;AT-RES-008"
"M3-US-02","USER_STORY","M3","EP-M3","客服认领、核对与分级送礼执行","客服确认真实意愿，L1 不越权，高金额由正确等级执行。","实现唯一认领、内部备注、VERIFIED/待执行、拒绝、L2/L3/L4 金额策略、payload_hash 和执行凭据过期；展示预留状态和语音链接。","M3-US-01;M0-US-03;M2-US-06","backend_security","5-8","仅一人认领；L1 只能 claim/contact/verify/submit；礼物≤200000 由 L2、200001–499999 由 L3、≥500000 由 L4 直接执行；同一人可发起并执行；数据变化使执行凭据失效。","权限矩阵、等级边界、同人发起并执行、原因、step-up/MFA、并发认领、陈旧凭据、客服卡片和不可篡改审计测试通过。","§3.5;§5.2-5.6;§6.6;§8.2;§10.4-10.6;§15.2;§17.3-17.4","claimStaffTask;verifyStaffTask;approveGiftRequest;rejectGiftRequest","yes","api_data","L1 不执行资金动作；任何级别不绕过核对。","GIFT-02;GIFT-03;ACCESS-01;REF-06","PLANNED","P0","UI:support-gift-card;API:approveGiftRequest","AT-GFT-004;AT-GFT-005;AT-RBAC-003"
"M3-US-03","USER_STORY","M3","EP-M3","礼物捕获、消费记账与播报恢复","用户只支付一次，播报失败不影响送礼成功。","批准时捕获现有 Gift FundReservation，原子写 external_transaction/consumption；成功后 Outbox 播报，补发仅重试消息。","M3-US-02;M0-US-04;M0-US-05","integration_backend","4-6","重复批准最多捕获一次并产生一条原始消费；批准不新建第二预留；余额或预留失效不扣；播报失败不重扣且可补发。","Provider、数据库幂等、reservation capture、Outbox 和 Discord 播报 E2E 通过。","§3.5;§6.6;§8.2;§9;§11.1-11.3;§12;§17.3","approveGiftRequest;handlePaymentWebhook;retryJob","yes","payment_integration","不因播报失败退款或再次捕获，不做礼物动画。","FUND-03;GIFT-03;GIFT-04","PLANNED","P0","DB:gift-reservation-capture;OUTBOX:gift-broadcast","AT-GFT-006;AT-GFT-007;AT-WHK-002"
