"ID","优先级","层级","模块","标题","前置数据","GIVEN","WHEN","THEN","对应需求","建议自动化"
"AT-ORD-004","P0_HIGH","E2E","ORDER","已有活跃订单时进入现有频道","FX-USER-CUSTOMER-A; FX-ORDER-ACCEPTED-A","GIVEN 用户已有 ACCEPTED 活跃订单","WHEN 再次点击创建订单","THEN 不创建第二个订单或频道；Bot 提供进入现有订单按钮；数据库活跃订单唯一约束保持有效","SPEC-6.2; SPEC-9; SPEC-18","E2E_DISCORD"
"AT-DSP-001","P0_BLOCKER","Unit","DISPATCH","候选必须同时满足五项条件","FX-ORDER-PENDING-DISPATCH; FX-PLAYER-POOL","GIVEN 陪玩池包含审核未通过、标签不符、Discord 离线、BUSY、有活跃订单和完全符合条件的账号","WHEN 运行候选筛选","THEN 只有 ACTIVE、标签匹配、Discord 在线、AVAILABLE 且无活跃订单的 FX-PLAYER-ELIGIBLE 进入 candidate_ids","SPEC-6.3; SPEC-17.2; SPEC-18","UNIT_AUTO"
"AT-DSP-002","P0_HIGH","E2E","DISPATCH","五分钟无人接单保持原预留且不自动扩圈","FX-ORDER-PENDING-DISPATCH; FX-DISPATCH-NO-ACCEPT","GIVEN 派单卡片发布后五分钟无人接单","WHEN DISPATCH_TIMEOUT Job 执行","THEN dispatch_attempt 标记超时；订单仍为 PENDING_DISPATCH 且原 FundReservation 保持有效；用户可继续等待、取消释放或联系客服；继续等待只创建新派单轮次；候选范围不自动扩大","SPEC-6.3; SPEC-6.5; SPEC-18","E2E_TIME_CONTROLLED"
"AT-DSP-003","P0_BLOCKER","API","DISPATCH","并发抢单仅一名获胜者","FX-ORDER-PENDING-DISPATCH; FX-PLAYER-ELIGIBLE; FX-PLAYER-ELIGIBLE-B","GIVEN 两名合格陪玩对同一 PENDING_DISPATCH 订单同时接单","WHEN 并发调用 POST /orders/:id/accept","THEN 仅一个条件更新成功；订单只有一个 player_id；失败方得到订单已被接取；频道、面板和派单卡最终一致","SPEC-6.3; SPEC-11.3; SPEC-17.2","API_DB_CONCURRENCY"
"AT-DSP-004","P0_HIGH","API","DISPATCH","有活跃订单陪玩不可再接单","FX-PLAYER-ACTIVE-BUSY-ORDER; FX-ORDER-PENDING-DISPATCH","GIVEN ACTIVE 陪玩已有 ACCEPTED 或 IN_SERVICE 订单","WHEN 该陪玩直接调用接单接口","THEN 返回 422 PLAYER_NOT_ELIGIBLE；目标订单和原订单均不变；不泄露审核细节","SPEC-9; SPEC-10.6; SPEC-18","API_AUTO"
"AT-SVC-001","P0_BLOCKER","API","SERVICE","只有当前订单双方可提交各自就绪","FX-ORDER-ACCEPTED-A; FX-PLAYER-ASSIGNED; FX-PLAYER-OTHER; FX-READINESS-CUSTOMER-ONLY","GIVEN 订单已接单且用户已就绪、陪玩未就绪","WHEN 非接单陪玩和当前接单陪玩分别提交 player readiness","THEN 非接单陪玩返回 403 且有拒绝审计；当前陪玩就绪后双方条件满足，订单只进入一次 IN_SERVICE 并记录双方就绪与 service_started_at","PL-05; SPEC-6.4; SPEC-8.1; SPEC-10.3","API_AUTO"
"AT-SVC-002","P0_BLOCKER","E2E","SERVICE","完成确认原子生成消费收益和返佣","FX-ORDER-PENDING-CONFIRMATION; FX-REFERRAL-2PCT","GIVEN 陪玩已申请完成且客户存在有效 2% 一级推荐关系","WHEN 客户点击确认完成","THEN 订单变为 COMPLETED；生成一条订单消费、一条 PENDING 陪玩收益和一条 PENDING 返佣；均使用订单快照；频道进入只读","SPEC-6.4; SPEC-6.7; SPEC-17.3","E2E_DISCORD_DB"
"AT-SVC-003","P0_HIGH","API","SERVICE","完成确认重复事件不重复结算","FX-ORDER-PENDING-CONFIRMATION; FX-IDEMPOTENCY-CONFIRM","GIVEN 同一确认交互被重放两次","WHEN 两次调用 POST /orders/:id/confirm","THEN 返回同一最终结果；只存在一条原始消费、一条原始收益和每个有效推荐关系一条返佣","SPEC-11.3; SPEC-17.3","API_DB_INTEGRATION"
"AT-SVC-004","P0_HIGH","E2E","SERVICE","三十分钟未确认只创建客服任务","FX-ORDER-PENDING-CONFIRMATION; FX-CLOCK-PLUS-30M","GIVEN 陪玩申请完成后客户三十分钟未确认","WHEN 完成超时 Job 执行","THEN 创建且仅创建一条 COMPLETION_REVIEW；订单不自动完成；不生成消费、收益或返佣","SPEC-6.4; SPEC-12; SPEC-17.2","E2E_TIME_CONTROLLED"
"AT-CAN-001","P0_HIGH","API","CANCELLATION","草稿取消无资金动作","FX-ORDER-DRAFT-A","GIVEN DRAFT 订单从未扣款","WHEN 客户调用取消接口","THEN 订单进入 CANCELLED；退款为 0；收益为 0；没有第三方退款调用","SPEC-6.5; SPEC-8.1","API_AUTO"
"AT-CAN-002","P0_BLOCKER","API","CANCELLATION","待派单取消释放预留后结束","FX-ORDER-PENDING-DISPATCH; FX-RESERVATION-ORDER-PENDING","GIVEN 订单仅有有效资金预留且仍未接单","WHEN 客户确认取消且 API 原子复核取消预览版本","THEN 使用稳定幂等键将预留只释放一次；不创建 ORDER_REFUND；随后订单进入 CANCELLED 且派单失效","PL-02; PL-06; SPEC-6.5; SPEC-17.2","API_DB_TRANSACTION"
"AT-CAN-003","P0_BLOCKER","API","CANCELLATION","原生 Hold 释放结果未知时不得提前取消","FX-ORDER-PENDING-DISPATCH; FX-PROVIDER-RELEASE-TIMEOUT","GIVEN 待派单订单使用供应商原生 Hold 且取消时 releaseHold 结果未知","WHEN 调用取消接口并触发超时","THEN 订单进入或保持 EXCEPTION/取消处理中；不显示 CANCELLED；不创建退款；创建客服任务；同一幂等键通过 getHold 恢复查询","SPEC-6.5; SPEC-12; SPEC-17.2","API_FAULT_INJECTION"
"AT-CAN-004","P0_BLOCKER","E2E","CANCELLATION","已接单取消默认转客服","FX-ORDER-ACCEPTED-A","GIVEN 订单已被陪玩接取","WHEN 客户点击取消","THEN 不自动退款或改变终态；创建 CANCELLATION_ASSIST 客服任务并显示客服处理中；L1 只能核对和提交建议","SPEC-3.4; SPEC-6.5; SPEC-6.8","E2E_DISCORD"
"AT-CAN-005","P0_HIGH","API","NO_SHOW","陪玩十分钟未就绪只创建爽约核对","FX-ORDER-ACCEPTED-A; FX-CLOCK-PLUS-10M","GIVEN 接单后十分钟用户已就绪但陪玩仍未就绪","WHEN 就绪宽限 Job 执行","THEN 创建 PLAYER_READINESS_LATE/PLAYER_NO_SHOW 任务和风险事件；不自动开始、退款、扣罚、取消或生成收益","PL-05; SPEC-6.4; SPEC-6.5; SPEC-17.2","API_TIME_CONTROLLED"
"AT-CAN-006","P0_HIGH","API","NO_SHOW","用户十五分钟未出现只创建核对任务","FX-ORDER-ACCEPTED-A; FX-CLOCK-PLUS-15M","GIVEN 接单后用户十五分钟未出现且陪玩提交核对请求","WHEN 系统记录 CUSTOMER_NO_SHOW","THEN 创建客服任务和风险事件；由 L2+ 决定全额、部分或不退款及陪玩补偿；系统不自动裁决","SPEC-6.5; SPEC-12; SPEC-18","API_AUTO"
"AT-CAN-007","P0_BLOCKER","API","INTERRUPTION","服务中断结案保持原子一致","FX-ORDER-IN-SERVICE; FX-STAFF-L2; FX-RESOLUTION-PARTIAL","GIVEN 服务中断任务含合法原因、部分退款、陪玩收益和证据说明","WHEN 有权限员工调用 POST /admin/orders/:id/resolve","THEN 结案、独立退款交易、原扣款聚合状态、PlayerEarningAdjustment、CommissionAdjustment、订单事件和审计要么全部成功要么全部回滚；原收益与返佣主记录不被覆盖","SPEC-6.5; SPEC-10.4; SPEC-17.2","API_DB_TRANSACTION"
"AT-CAN-008","P0_BLOCKER","API","CANCELLATION","待确认阶段取消或争议不得自动结案","FX-ORDER-PENDING-CONFIRMATION; FX-STAFF-L2","GIVEN 订单正在等待客户确认完成且客户提出取消或质量争议","WHEN 客户请求取消或客服创建完成争议任务","THEN 不直接迁移到 CANCELLED 或 COMPLETED；订单进入 EXCEPTION 或保持待确认并创建可认领任务；退款、收益和返佣均等待有权限员工原子结案","SPEC-6.4; SPEC-6.5; SPEC-8.1","API_AUTO"
"AT-CAN-009","P0_BLOCKER","API","CANCELLATION","已完成订单不能倒退为取消","FX-ORDER-COMPLETED-10000; FX-STAFF-L3","GIVEN 订单已经 COMPLETED 并生成消费、收益和返佣","WHEN 用户或员工调用普通取消接口或试图把状态改为 CANCELLED","THEN 状态机拒绝迁移；售后退款只能追加退款交易、消费更正、PlayerEarningAdjustment 和 CommissionAdjustment；原完成事实及主收益/返佣记录保持不变","SPEC-6.5; SPEC-8.1; SPEC-17.3","API_AUTO"
"AT-SUP-001","P0_HIGH","API","SUPPORT_TASK","客服任务并发认领只有一人成功","FX-STAFF-TASK-OPEN; FX-STAFF-L1; FX-STAFF-L1-B","GIVEN 两名 L1 同时认领同一 OPEN 任务","WHEN 并发调用 /admin/staff-tasks/:id/claim","THEN 仅第一名成功，任务为 CLAIMED 且 claimed_by 唯一；后点击者收到已被认领","SPEC-6.8; SPEC-11.3; SPEC-12","API_DB_CONCURRENCY"
"AT-SUP-002","P0_HIGH","UAT","SUPPORT_TASK","客服可以接管自动流程但受权限限制","FX-ORDER-ACCEPTED-A; FX-STAFF-L1; FX-STAFF-L2","GIVEN 用户主动求助并生成任务","WHEN L1 认领、打开订单/语音链接、记录备注并提交取消建议，随后 L2 处理","THEN L1 可完成核对但不能执行退款或已接单取消；L2 在权限与金额范围内执行；Bot 与 Dashboard 显示一致状态","SPEC-3.7; SPEC-5.6; SPEC-6.8","UAT_MANUAL"
"AT-SUP-003","P0_BLOCKER","API","SUPPORT_TASK","非法结案金额不产生部分写入","FX-ORDER-ACCEPTED-A; FX-STAFF-L2; FX-RESOLUTION-OUT-OF-RANGE","GIVEN 退款或陪玩收益超过订单快照允许范围","WHEN 员工提交人工结案","THEN 返回 422；不写 order_resolution、不调用第三方、不改订单、不创建收益；记录被拒绝请求和原因","SPEC-12; SPEC-17.2","API_DB_TRANSACTION"
"AT-SUP-004","P0_HIGH","UAT","SUPPORT_TASK","草稿下单默认自动但可主动请求客服","FX-ORDER-DRAFT-A; FX-STAFF-L1","GIVEN 客户正在私密频道填写即时订单且自动流程正常","WHEN 客户点击联系客服","THEN 创建 ORDER_ASSIST 任务但订单仍为 DRAFT；L1 可加入频道、核对需求和写备注；除用户确认提交外不得代扣款；关闭协助后可继续自动流程","SPEC-3.7; SPEC-6.2; SPEC-6.8","UAT_MANUAL"
"AT-GFT-001","P0_BLOCKER","E2E","GIFT","所有礼物先预留再人工核对且目标固定","FX-ORDER-IN-SERVICE; FX-GIFT-1999; FX-USER-CUSTOMER-A","GIVEN 客户在关联订单内选择礼物并尝试传入其他 receiver_id","WHEN 提交 POST /orders/:id/gift-requests","THEN receiver_id 始终由订单当前陪玩推导；立即创建 PENDING FundReservation、PENDING_REVIEW 与 GIFT_REVIEW 任务；客服卡含必要上下文；提交时不捕获资金、不播报","BASELINE-FUNDS; BASELINE-GIFT; SPEC-6.6; SPEC-17.3","E2E_DISCORD_API"
"AT-GFT-002","P0_BLOCKER","API","GIFT_RBAC","L1 核对后仍不能批准或拒绝","FX-GIFT-REQUEST-VERIFIED; FX-STAFF-L1","GIVEN L1 已认领并标记礼物资料核对完成","WHEN L1 调用礼物批准或拒绝接口","THEN 返回 403 PERMISSION_DENIED；没有扣款、状态终结或播报；拒绝尝试写审计","SPEC-5.2; SPEC-5.3; SPEC-6.6","API_RBAC"
"AT-GFT-003","P0_BLOCKER","API","GIFT_RBAC","L2 可批准 ¥1,999 礼物","FX-GIFT-REQUEST-1999; FX-STAFF-L2; FX-BALANCE-SUFFICIENT","GIVEN 已人工核对且已预留的礼物金额为 199900 CNY minor units","WHEN L2 完成确认并批准","THEN API 捕获原 reservation_id 一次；礼物进入 CAPTURED；创建消费和播报 Outbox；无需 L3 审批","BASELINE-FUNDS; SPEC-5.3; SPEC-6.6; SPEC-14.2","API_BOUNDARY"
"AT-GFT-004","P0_BLOCKER","API","GIFT_RBAC","L2 可批准 ¥2,000 礼物","FX-GIFT-REQUEST-2000; FX-STAFF-L2; FX-BALANCE-SUFFICIENT","GIVEN 已人工核对且已预留的礼物金额等于 200000 CNY minor units","WHEN L2 批准","THEN 操作在 L2 闭环并只捕获原预留一次；不创建升级审批","BASELINE-FUNDS; SPEC-5.3; SPEC-5.4; SPEC-18","API_BOUNDARY"
"AT-GFT-005","P0_BLOCKER","API","GIFT_RBAC","¥2,001 礼物升级 L3","FX-GIFT-REQUEST-2001; FX-STAFF-L2","GIVEN 已人工核对的礼物金额为 200100 CNY minor units","WHEN L2 尝试批准","THEN 返回 202 APPROVAL_PENDING 和审批编号；不扣款、不播报；L3 在 step-up 有效后可批准","SPEC-5.3; SPEC-5.4; SPEC-10.6","API_BOUNDARY"
"AT-GFT-006","P0_BLOCKER","API","GIFT_RBAC","¥5,000 礼物仅 L4 可直接执行","FX-GIFT-REQUEST-5000; FX-STAFF-L4-A-STEPUP; FX-BALANCE-SUFFICIENT","GIVEN 礼物金额为 500000 CNY minor units 且已人工核对，业务版本与预留有效","WHEN L4 填写原因并在近期 step-up/MFA 有效期内直接批准","THEN API 原子重校验礼物、预留和业务版本后只扣款一次；允许同一 L4 发起并执行且不要求不同人员复核；状态与不可篡改审计完整保留","SPEC-5.4; SPEC-10.5; SPEC-17.4","API_APPROVAL_FLOW"
"AT-GFT-007","P0_BLOCKER","API","APPROVAL","同一 L4 可发起并执行高额礼物","FX-GIFT-REQUEST-5000; FX-STAFF-L4-A-STEPUP; FX-BALANCE-SUFFICIENT","GIVEN L4 已发起金额为 500000 CNY minor units 的礼物批准请求","WHEN 同一 staff_id 填写原因并在近期 step-up/MFA 有效期内执行批准","THEN 允许同一人发起并执行；不要求不同人员复核；重校验业务版本与预留后只扣款一次；原因、近期 step-up/MFA 事实和不可篡改审计完整保留","SPEC-5.4; SPEC-9; SPEC-17.4","API_RBAC"
"AT-GFT-008","P0_HIGH","API","GIFT","审批期间余额下降会阻止扣款","FX-GIFT-REQUEST-2000; FX-STAFF-L2; FX-BALANCE-BECOMES-INSUFFICIENT","GIVEN 礼物提交时余额充足但审批时实时余额不足","WHEN L2 批准","THEN API 再次查询余额并拒绝扣款；礼物不进入 CAPTURED；无消费和播报；任务保留可处理状态","SPEC-6.6; SPEC-12; SPEC-17.3","API_PROVIDER_INTEGRATION"
"AT-GFT-009","P0_BLOCKER","API","IDEMPOTENCY","礼物重复批准最多扣款一次","FX-GIFT-REQUEST-2000; FX-STAFF-L2; FX-IDEMPOTENCY-GIFT-APPROVE","GIVEN 同一已核对礼物被按钮重放或并发批准","WHEN 多次调用礼物批准接口","THEN 固定 gift_request_id 派生相同 Idempotency-Key；仅一条成功交易和消费；后续响应返回首次结果","SPEC-11.3; SPEC-17.3","API_DB_CONCURRENCY"
"AT-GFT-010","P0_BLOCKER","E2E","GIFT","播报失败只重试播报不重复扣款","FX-GIFT-CAPTURED-UNANNOUNCED; FX-OUTBOX-BROADCAST-FAILED","GIVEN 礼物已 CAPTURED 且 Discord 播报首次失败","WHEN Outbox 自动重试或有权限员工手工重试 Job","THEN 不再次调用 captureHold/createReservationDebit 或创建 GIFT_CHARGE；最终仅一条有效播报；礼物变为 ANNOUNCED；失败次数和最后错误可见","SPEC-6.6; SPEC-11.3; SPEC-12; SPEC-17.3","E2E_DISCORD_FAULT"
"AT-HIS-001","P0_HIGH","API","CONSUMPTION","消费历史合并订单和礼物并分页","FX-CONSUMPTION-PAGESET","GIVEN 当前用户有订单、礼物及冲正流水超过一页","WHEN GET /me/consumptions 使用 cursor 分页","THEN 返回按 occurred_at 稳定排序的订单/礼物记录及状态；无重复或遗漏；金额为 minor units + currency","SPEC-10.2; SPEC-17.3","API_AUTO"
"AT-HIS-002","P0_BLOCKER","E2E","CONSUMPTION","余额消费返佣仅私密展示且不可跨用户查询","FX-USER-CUSTOMER-A; FX-USER-CUSTOMER-B; FX-CONSUMPTION-PAGESET","GIVEN 用户 A 与 B 均有个人数据","WHEN A 从服务中心查询并尝试访问 B 的资源 ID","THEN A 的数据仅 ephemeral；API 只返回 A 的记录并拒绝 B 的对象；公共频道无余额、消费或返佣内容","SPEC-5; SPEC-10.1; SPEC-17.1","E2E_SECURITY"
"AT-REF-001","P0_BLOCKER","API","REFERRAL","有效一级返佣按 2% 生成并保存比例快照","FX-REFERRAL-2PCT; FX-ORDER-COMPLETED-10000","GIVEN 推荐关系在首笔消费前绑定且订单净消费为 10000 minor units","WHEN OrderCompleted 事件处理","THEN 生成一条 PENDING commission，base_amount_minor=10000、rate_bps=200、amount_minor=200；关系和比例快照不随后续规则变化","SPEC-6.7; SPEC-9; SPEC-17.3","API_DB_INTEGRATION"
"AT-REF-002","P0_HIGH","Unit","REFERRAL","5% 返佣金额使用整数计算","FX-REFERRAL-5PCT; FX-CONSUMPTION-ODD-AMOUNT","GIVEN 有效关系 rate_bps=500 且净消费为 12345 minor units","WHEN 计算一级返佣","THEN 按统一整数舍入策略得到 617 minor units并保存 base/rate/amount；不得使用浮点数","SPEC-6.7; SPEC-9; SPEC-18","UNIT_AUTO"
"AT-REF-003","P0_BLOCKER","API","REFERRAL","重复消费事件不重复返佣","FX-REFERRAL-2PCT; FX-CONSUMPTION-SOURCE-A","GIVEN 同一 source_type/source_id 的完成事件被重放","WHEN 两次处理返佣创建","THEN 来源唯一约束只保留一条 commission；第二次为幂等成功或冲突后返回现有记录","SPEC-9; SPEC-11.3; SPEC-17.3","API_DB_INTEGRATION"
"AT-REF-004","P0_HIGH","API","REFERRAL","无资格推荐关系被拒绝","FX-REFERRAL-INVALID-SELF; FX-REFERRAL-INVALID-DUPLICATE; FX-REFERRAL-INVALID-LATE","GIVEN 分别为自荐、相同 Discord/第三方账号互荐、已有推荐人和首笔消费后绑定","WHEN L3 调用 POST /admin/referrals","THEN 返回 422 REFERRAL_INELIGIBLE；不创建或替换关系；保留原关系；必要时记录风险事件","SPEC-6.7; SPEC-10.4; SPEC-17.3","API_DATA_DRIVEN"
"AT-REF-005","P0_BLOCKER","API","REFERRAL","退款通过 Adjustment 冲正返佣且不覆盖主记录","FX-COMMISSION-PENDING-A; FX-REFUND-PARTIAL","GIVEN 原消费已生成 PENDING 或 CONFIRMED commission","WHEN 对来源执行部分或全额退款","THEN 追加一条 CommissionAdjustment 并关联原 commission 与 sourceRefundId；原 commission 的 base/rate/amount 不被修改或删除；按主记录加 Adjustment 汇总后的净返佣与净消费一致","SPEC-6.7; SPEC-9; SPEC-17.3","API_DB_INTEGRATION"
"AT-EAR-001","P0_BLOCKER","API","EARNINGS","完成订单按结算快照生成待确认收益","FX-ORDER-PENDING-CONFIRMATION; FX-SERVICE-ACTIVE-V2","GIVEN 订单保存 V1 player_unit_payout_minor 快照且目录已更新到 V2","WHEN 订单完成","THEN 每个订单仅生成一条原始 PENDING player_earning；金额按 V1 单价和单位数计算；不自动支付","SPEC-3.10; SPEC-6.4; SPEC-9; SPEC-17.3","API_DB_INTEGRATION"
"AT-EAR-002","P0_HIGH","API","EARNINGS_RBAC","只有 L3+ 可确认和标记收益已支付","FX-EARNING-PENDING-A; FX-STAFF-L2; FX-STAFF-L3","GIVEN 一条 PENDING 陪玩收益","WHEN L2 与 L3 分别请求确认和标记 PAID","THEN L2 只读并被拒绝写入；L3 近期 step-up 后可执行且必须填写原因；状态历史和审计可追踪","SPEC-5.3; SPEC-10.4; SPEC-17.4","API_RBAC"
"AT-EAR-003","P0_BLOCKER","API","EARNINGS","退款创建收益 Adjustment 且原收益不可变","FX-EARNING-PAID-A; FX-REFUND-PARTIAL","GIVEN 原 PlayerEarning 已 CONFIRMED 或 PAID","WHEN 有权限员工完成含收益调整的退款结案","THEN 追加一条 PlayerEarningAdjustment 并关联原 playerEarningId 与 sourceRefundId；不创建第二条同 orderId 的 PlayerEarning；原金额和状态事实不可覆盖或硬删除；按主记录加 Adjustment 汇总后的净收益符合结案金额","SPEC-3.10; SPEC-6.5; SPEC-9; SPEC-17.3","API_DB_INTEGRATION"
"AT-RBAC-001","P0_HIGH","UAT","RBAC","L1 仅执行基础客服动作","FX-STAFF-L1; FX-STAFF-TASK-OPEN","GIVEN L1 登录 Dashboard 并在 Discord 客服卡片操作","WHEN 查看脱敏资料、认领自己的任务、联系用户、写备注和提交建议","THEN 所有允许动作成功且仅在个人 scope；导航和按钮与 capabilities 一致；动作均归因到真实 L1","SPEC-5.2; SPEC-13.3; SPEC-17.4","UAT_MANUAL"
"AT-RBAC-002","P0_BLOCKER","API","RBAC","L1 无法执行资金或破坏性操作","FX-STAFF-L1; FX-ORDER-ACCEPTED-A; FX-GIFT-REQUEST-1999","GIVEN L1 拥有有效会话","WHEN 尝试扣款、退款、批准/拒绝礼物、取消已接单订单、封禁、改价格、改权限或删除数据","THEN 每项返回 403；业务与资金均无变化；高风险拒绝尝试写入审计","SPEC-5.2; SPEC-5.3; SPEC-17.4","API_DATA_DRIVEN_RBAC"
"AT-RBAC-003","P0_BLOCKER","API","REFUND_RBAC","L2 可执行 ¥499 退款","FX-ORDER-REFUNDABLE; FX-STAFF-L2; FX-REFUND-499","GIVEN 合法退款金额为 49900 CNY minor units","WHEN L2 完成原因和确认后执行退款","THEN 在 L2 权限内幂等完成；不创建升级审批；退款与审计金额准确","SPEC-5.3; SPEC-14.2","API_BOUNDARY"
